编号,标准问题,答案,所属分类
117,徇私枉法案立案标准是如何规定的？,徇私枉法案立案标准有六项，分别是：．对明知是没有犯罪事实或者其他依法不应当追究刑事责任的人，采取伪造、隐匿、毁灭证据或者其他隐瞒事实、违反法律的手段，以追究刑事责任为目的立案、侦查、起诉、审判的情形；对明知是有犯罪事实需要追究刑事责任的人，采取伪造、隐匿、毁灭证据或者其他隐瞒事实、违反法律的手段，故意包庇使其不受立案、侦查、起诉、审判的情形；．采取伪造、隐匿、毁灭证据或者其他隐瞒事实、违反法律的手段，故意使罪重的人受较轻的追诉，或者使罪轻的人受较重的追诉的情形；.在立案后，采取伪造、隐匿、毁灭证据或者其他隐瞒事实、违反法律的手段，应当采取强制措施而不采取强制措施，或者虽然采取强制措施，但中断侦查或者超过法定期限不采取任何措施，实际放任不管以及违法撤销、变更强制措施，致使犯罪嫌疑人、被告人实际脱离司法机关侦控的情形；．在刑事审判活动中故意违背事实和法律，作出枉法判决、裁定，即有罪判无罪、无罪判有罪，或者重罪轻判、轻罪重判的情形其他徇私枉法应予追究刑事责任的情形。,检务公开
118,民事、行政枉法裁判案立案标准是如何规定的？,民事、行政枉法裁判案立案标准有七项，分别是：．枉法裁判，致使当事人或者其近亲属自杀、自残造成重伤、死亡，或者精神失常的情形；.枉法裁判，造成个人财产直接经济损失10万元以上，或者直接经济损失不满10万元，但间接经济损失50万元以上的情形；．枉法裁判，造成法人或者其他组织财产直接经济损失20万元以上，或者直接经济损失不满20万元，但间接经济损失100万元以上的情形；.伪造、变造有关材料、证据，制造假案枉法裁判的情形；6串通当事人制造伪证、毁灭证据或者篡改庭审笔录而枉法裁判的情形；O徇私情、私利，明知是伪造、变造的证据予以采信，或者故意对应当采信的证据不予采信，或者故意违反法定程序，或者故意错误适用法律而枉法裁判的情形；．其他情节严重的情形。,检务公开
119,执行判决、裁定失职案立案标准是如何规定的？,执行判决、裁定失职案立案标准有五项，分别是：．致使当事人或者其近亲属自杀、自残造成重伤、死亡，或者精神失常的情形；.造成个人财产直接经济损失15万元以上，或者直接经济损失不满15万元，但间接经济损失75万元以上的情形爹．造成法人或者其他组织财产直接经济损失30万元以上，或者直接经济损失不满30万元，但间接经济损失150万元以上的情形；.造成公司、企业等单位停业、停产1年以上，或者破产的情形；．其他致使当事人或者其他人的利益遭受重大损失的情形。,检务公开
120,执行判决、裁定滥用职权案立案标准是如何规定的？,执行判决、裁定滥用职权案立案标准有五项，分别是：．致使当事人或者其近亲属自杀、自残造成重伤、死亡，或者精神失常的情形；.造成个人财产直接经济损失10万元以上，或者直接经济损失不满10万元，但间接经济损失50万兀以上的情形；．造成法人或者其他组织财产直接经济损失20万元以上，或者直接经济损失不满20万元，但间接经济损失100万元以上的情形；.造成公司、企业等单位停业、停产6个月以上，或者破产的情形；其他致使当事人或者其他人的利益遭受重大损失的情形。,检务公开
121,私放在押人员案立案标准是如何规定的？,私放在押人员案立案标准有四项，分别是：．私自将在押的犯罪嫌疑人、被告人、罪犯放走，或者授意、指使、强迫他人将在押的犯罪謙疑人、被告人、罪犯放走的情形；．伪造、变造有关法律文书、证明材料，以使在押的犯罪嫌疑人、被告人、罪犯逃跑或者被释放的情形；．对私放在押的犯罪嫌疑人、被告人、罪犯，故意向其通风报信、提供条件，致使该在押的犯罪嫌疑人、被告人、罪犯脱逃的情形；.其他私放在押的犯罪嫌疑人、被告人、罪犯应予追究刑事责任的情形。,检务公开
122,失职致使在押人员脱逃案立案标准是如何规定的？,失职致使在押人员脱逃案立案标准有四项，分别是：．致使依法可能判处或者已经判处10年以上有期徒刑、无期徒刑、死刑的犯罪嫌疑人、被告人、罪犯脱逃的情形；.致使犯罪嫌疑人、被告人、罪犯脱逃3人次以上的情形；．犯罪嫌疑人、被告人、罪犯脱逃以后，打击报复报案人、控告人、举报人、被害人、证人和司法工作人员等，或者继续犯罪的情形；.其他致使在押的犯罪嫌疑人、被告人、罪犯脱逃，造成严重后果的情形。,检务公开
123,徇私舞弊减刑、假释、暂予监外执行案立案标准是如何规定的？,徇私舞弊减刑、假释、暂予监外执行案立案标准有五项，分别是：．刑罚执行机关的工作人员对不符合减刑、假释、暂予监外执行条件的罪犯，捏造事实，伪造材料，违法报请减刑、假释、暂予监外执行的情形；.审判人员对不符合减刑、假释、暂予监外执行条件的罪犯，徇私舞弊，违法裁定减刑、假释或者违法决定暂予监外执行的情形；．监狱管理机关、公安机关的工作人员对不符合暂予监外执行条件的罪犯，徇私舞弊，违法批准暂予监外执行的情形；不具有报请、裁定、决定或者批准减刑、假释、暂予监外执行权的司法工作人员利用职务上的便利，伪造有关材料，导致不符合减刑、假释、暂予监外执行条件的罪犯被减刑、假释、暂予监外执行的情形；．其他徇私舞弊减刑、假释、暂予监外执行应予追究刑事责任的情形。,检务公开
124,徇私舞弊不移交刑事案件案立案标准是如何规定？,徇私舞弊不移交刑事案件案立案标准有八项，分别是：．对依法可能判处3年以上有期徒刑、无期徒刑、死刑的犯罪案件不移交的情形；．不移交刑事案件涉及3人次以上的情形；．司法机关提出意见后，无正当理由仍然不予移交的情形；.以罚代刑，放纵犯罪嫌疑人，致使犯罪嫌疑人继续进行违法犯罪活动的情形；.行政执法部门主管领导阻止移交的情形.隐瞒、毁灭证据，伪造材料，改变刑事案件性质的情形；．直接负责的主管人员和其他直接责任人员为谋取本单位私利而不移交刑事案件，情节严重的情形；.其他情节严重的情形。,检务公开
125,滥用管理公司、证券职权案立案标准是如何规定的？,滥用管理公司、证券职权案立案标准有六项，分别是：．造成直接经济损失50万元以上的情形；.工商管理部门的工作人员对不符合法律规定条件的公司设立、登记申请，违法予以批准、登记，严重扰乱市场秩序的情形；.金融证券管理机构工作人员对不符合法律规定条件的股票、债券发行、上市申请，违法予以批准，严重损害公众利益，或者严重扰乱金融秩序的情形；.工商管理部门、金融证券管理机构的工作人员对不符合法律规定条件的公司设立、登记申请或者股票、债券发行、上市申请违法予以批准或者登记，致使犯罪行为得逞的情形；．上级部门、当地政府直接负责的主管人员强令登记机关及其工作人员，对不符合法律规定条件的公司设立、登记申请或者股票、债券发行、上市申请予以批准或者登记，致使公共财产、国家或者人民利益遭受重大损失的情形；.其他致使公共财产、国家和人民利益遭受重大损失的情形。,检务公开
126,徇私舞弊不征、少征税款案立案标准是如何规定的？,徇私舞弊不征、少征税款案立案标准有四项，分别是：.徇私舞弊不征、少征应征税款，致使国家税收损失累计达10万元以上的情形；上级主管部门工作人员指使税务机关工作人员徇私舞弊不征、少征应征税款，致使国家税收损失累计达10万元以上的情形；.徇私舞弊不征、少征应征税款不满10万元，但具有索取或者收受贿略或者其他恶劣情节的情形；.其他致使国家税收遭受重大损失的情形。,检务公开
127,徇私舞弊发售发票、抵扣税款、出口退税案立案标准是如何规定的？,徇私舞弊发售发票、抵扣税款、出口退税案立案标准有项，分别是：．徇私舞弊，致使国家税收损失累计达10万元以上的情形；.徇私舞弊．致使国家税收损失累计不满10万元，但发售增值税专用发票25份以上，或者其他发票50份以上，或者增值税专用发票与其他发票合计50份以上，或者具有索取、收受贿赂，或者其他恶劣情节的情形；．其他致使国家利益遭受重大损失的情形,检务公开
128,违法提供出口退税凭证案立案标准是如何规定的？,违法提供出口退税凭证案立案标准有三项，分别是：．徇私舞弊，致使国家税收损失累计达10万元以上的情形；.徇私舞弊，致使国家税收损失累计不满10万元，但具有索取、收受贿赂或者其他恶劣情节的情形；．其他致使国家利益遭受重大损失的情形。,检务公开
129,国家机关工作人员签订、履行合同失职被骗案立案标准是如何规定的？,国家机关工作人员签订、履行合同失职被骗案立案标准有两项，分别是：.造成直接经济损失30万元以上，或者直接经济损失不满30万元，但间接经济损失150万元以上的情形；．其他致使国家利益遭受重大损失的情形。,检务公开
130,违法发放林木采伐许可证案立案标准是如何规定违法发放林木采伐许可证案立案标准有六项，分别是：．发放林木采伐许可证允许采伐数量累计超过批准的年采伐限额，导致林木被超限额采伐10立方米以上的情形；.滥发林木采伐许可证，导致林木被滥伐20立方米以上，或者导致幼树被滥伐1000株以上的情形；．滥发林木采伐许可证，导致防护林、特种用途林被滥伐5立方米以上，或者幼树被滥伐200株以上的情形；.滥发林木采伐许可证，导致珍贵树木或者国家重点保护的其他树木被滥伐的情形；．滥发林木采伐许可证，导致国家禁止采伐的林木被采伐的情形；.其他情节严重，致使森林遭受严重破坏的情形。,,检务公开
131,环境监管失职案立案标准是如何规定的？,环境监管失职案立案标准有八项，分别是：1．造成死亡1人以上，或者重伤3人以上，或者重伤2人、轻伤4人以上，或者重伤I人、轻伤7人以上，或者轻伤10人以上的情形；2．导致30人以上严重中毒的情形；3．造成个人财产直接经济损失巧万元以上，或者直接经济损失不满15万元，但间接经济损失75万元以上的情形；4.造成公共财产、法人或者其他组织财产直接经济损失30万元以上，或者直接经济损失不满30万元，但间接经济损失150万元以上的情形；5.虽未达到34两项数额标准，但两项合计直接经济损失30万元以上，或者合计直接经济损失不满30万元，但合计间接经济损失150万元以上的情形多6.造成基本农田或者防护林地、特种用途林地10亩以上，或者基本农田以外的耕地50亩以上，或者其他土地70亩以上被严重毁坏的情形；7.造成生活饮用水地表水源和地下水源严重污染的情形；8.其他致使公私财产遭受重大损失或者造成人身伤亡严重后果的情形。,检务公开
132,传染病防治失职案立案标准是如何规定的？,传染病防治失职案立案标准有八项，分别是：．导致甲类传染病传播的情形；.导致乙类、丙类传染病流行的情形；．因传染病传播或者流行，造成人员重伤或者死亡的情形；.因传染病传播或者流行，严重影响正常的生产、生活秩序的情形；．在国家对突发传染病疫情等灾害采取预防、控制措施后，对发生突发传染病疫情等灾害的地区或者突发传染病病人、病原携带者、疑似突发传染病病人，未按照预防、控制突发传染病疫情等灾害工作规范的要求做好防疫、检疫、隔离、防护、救治等工作，或者采取的预防、控制措施不当，造成传染范围扩大或者疫情、灾情加重的情形；.在国家对突发传染病疫情等灾害采取预防、控制措施后，隐瞒、缓报、谎报或者授意、指使、强令他人隐瞒、缓报、谎报疫情、灾情，造成传染范围扩大或者疫情、灾情加重的情形；．在国家对突发传染病疫情等灾害采取预防、控制措施后，拒不执行突发传染病疫情等灾害应急处理指挥机构的决定、命令，造成传染范围扩大或者疫情、灾情加重的情形；.其他情节严重的情形。,检务公开
133,非法批准征用、占用土地案立案标准是如何规定的？,非法批准征用、占用土地案立案标准有九项，分别是：．非法批准征用、占用基本农田10亩以上的情形；．非法批准征用、占用基本农田以外的耕地30亩以上的情形；．非法批准征用、占用其他土地50亩以上的情形；.虽未达到上述数量标准，但造成有关单位、个人直接经济损失30万元以上，或者造成耕地大量毁垢或者植被遭到严重破坏的情形；．非法批准征用、占用土地，影响群众生产、生活，引起纠纷，造成恶劣影响或者其他严重后果的情形；.非法批准征用、占用防护林地、特种用途林地分别或者合计10亩以上的情形；．非法批准征用、占用其他林地20亩以上的情形；.非法批准征用、占用林地造成直接经济损失30万元以上，或者造成防护林地、特种用途林地分别或者合计5亩以上或者其他林地10亩以上毁坏的情形；.其他情节严重的情形。,检务公开
134,非法低价出让国有土地使用权案立案标准是如何规定的？,非法低价出让国有土地使用权案立案标准有六项，分别是：．非法低价出让国有土地30亩以上，并且出让价额低于国家规定的最低价额标准的60％的情形；造成国有土地资产流失价额30万元以上的情形；．非法低价出让国有土地使用权，影响群众生产、生活，引起纠纷，造成恶劣影响或者其他严重后果的情形；.非法低价出让林地合计30亩以上，并且出让价额低于国家规定的最低价额标准的60‰的情形；造成国有资产流失30万元以上的情形；.其他情节严重的情形,检务公开
135,放纵走私案立案标准是如何规定的？,放纵走私案立案标准有五项，分别是：.放纵走私犯罪的情形；．因放纵走私致使国家应收税额损失累计达10万元以上的情形；．放纵走私行为3起次以上的情形；.放纵走私行为情形，具有索取或者收受贿赂情节的情形；．其他情节严重的情形。,检务公开
136,商检徇私舞弊案立案标准是如何规定的？,商检徇私舞弊案立案标准有四项，分别是：．采取伪造、变造的手段对报检的商品的单证、印章、标志、封识、质量认证标志等作虚假们证明或者出具不真实的证明结论的情形；．将送检的合格商品检验为不合格，或者将不合格商品检验为合格的情形；．对明知是不合格的商品，不检验而出具合格检验结果的情形；.其他伪造检验结果应予追究刑事责任的情形。,检务公开
137,商检失职案立案标准是如何规定的？,商检失职案立案标准有六项，分别是：．致使不合格的食药品、医疗器械等商品出人境，严重危害生命健康的情形；．造成个人财产直接经济损失15万元以上，或者直接经济损失不满巧万元，但间接经济损失75万元以上的情形；．造成公共财产、法人或者其他组织财产直接经济损失30万元以上，或者直接经济损失不满30万元，但间接经济损失150万元以上的情形；.未经检验，出具合格检验结果，致使国家禁止进口的固体废物、液态废物和气态废物等进人境内的情形；．不检验或者延误检验出证、错误出证，引起国际经济贸易纠纷，严重影响国家对外经贸关系，或者严重损害国家声誉的情形；.其他致使国家利益遭受重大损失的情形。,检务公开
138,动植物检疫徇私舞弊案立案标准是如何规定的？,动植物检疫徇私舞弊案立案标准有四项，分别是：．采取伪造、变造的手段对检疫的单证、印章、标志、封识等作虚假的证明或者出具不真实的结论的情形；．将送检的合格动植物检疫为不合格，或者将不合格动植物检疫为合格的情形；．对明知是不合格的动植物，不检疫而出具合格检疫结果的情形；.其他伪造检疫结果应予追究刑事责任的情形。,检务公开
139,动植物检疫失职案立案标准是如何规定的？,动植物检疫失职案立案标准有六项，分别是：．导致疫情发生，造成人员重伤或者死亡的情形@导致重大疫情发生、传播或者流行的情形；．造成个人财产直接经济损失15万元以上，或者直接经济损失不满15万元，但间接经济损失75万元以上的情形；.造成公共财产或者法人、其他组织财产直接经济损失30万元以上，或者直接经济损失不满30万元，但间接经济损失150万元以上的情形；.不检疫或者延误检疫出证、错误出证，引起国际经济贸易纠纷，严重影响国家对外经贸关系，或者严重损害国家声誉的情形；.其他致使国家利益遭受重大损失的情形。,检务公开
140,放纵制售伪劣商品犯罪行为案立案标准是如何规定的？,放纵制售伪劣商品犯罪行为案立案标准有六项，分别是：．放纵生产、销售假药或者有毒、有害食品犯罪行为的情形；．放纵生产、销售伪劣农药、兽药、化肥、种子犯罪行为的情形；．放纵依法可能判处3年有期徒刑以上刑罚的生产、销售伪劣商品犯罪行为的情形；.对生产、销售伪劣商品犯罪行为不履行追究职责，致使生产、销售伪劣商品犯罪行为得以继续的情形；．3次以上不履行追究职责，或者对3个以上有生产、销售伪劣商品犯罪行为的单位或者个人不履行追究职责的情形；.其他情节严重的情形,检务公开
141,办理偷越国（边）境人员出入境证件案立案标准是如何规定的？,办理偷越国（边）境人员出人境证件案立案标准是：负责办理护照、签证以及其他出人境证件的国家机关工作人员涉嫌在办理护照、签证以及其他出人境证件的过程中，对明知是企图偷越国（边）境的人员而予以办理出人境证件的情形。,检务公开
142,放行偷越国（边）境人员案立案标准是如何规定的？,放行偷越国（边）境人员案立案标准是：边防、海关等国家机关工作人员涉嫌在履行职务过程中，对明知是偷越国（边）境的人员而予以放行的情形。,检务公开
143,不解救被拐卖、绑架妇女、儿童案立案标准是如何规定的？,不解救被拐卖、绑架妇女、儿童案立案标准有五项，分别是：．导致被拐卖、绑架的妇女、儿童或者其家属重伤、死亡，或者精神失常的情形；.导致被拐卖、绑架的妇女、儿童被转移、隐匿、转卖，不能及时进行解救的情形；．对被拐卖、绑架的妇女、儿童不进行解救3人次以上的情形；.对被拐卖、绑架的妇女、儿童不进行解救，造成恶劣社会影响的情形；．其他造成严重后果的情形。,检务公开
144,阻碍解救被拐卖、绑架妇女、儿童案立案标准是如何规定的阻碍解救被拐卖、绑架妇女、儿童案立案标准有三项，分别是：．利用职权，禁止、阻止或者妨碍有关部门、人员解救被拐卖、绑架的妇女、儿童的情形；．利用职务上的便利，向拐卖、绑架者或者收买者通风报信，妨碍解救工作正常进行的情形；．其他利用职务阻碍解救被拐卖、绑架的妇女、儿童应予追究刑事责任的情形。,,检务公开
145,帮助犯罪分子逃避处罚案立案标准是如何规定的？,帮助犯罪分子逃避处罚案立案标准有五项，分别是：．向犯罪分子泄漏有关部门查禁犯罪活动的部署、人员、措施、时间、地点等情况的情形；．向犯罪分子提供钱物、交通工具、通讯设备、隐藏处所等便利条件的情形；．向犯罪分子泄漏案情的情形；.帮助、示意犯罪分子隐匿、毁灭、伪造证据，或者串供、翻供的情形；．其他帮助犯罪分子逃避处罚应予追究刑事责任的情形。,检务公开
146,招收公务员、学生徇私舞弊案立案标准是如何规定的？,招收公务员、学生徇私舞弊案立案标准有六项，分别是：．徇私舞弊，利用职务便利，伪造、变造人事、户口档案、考试成绩或者其他影响招收工作的有关资料，或者明知是伪造、变造的上述材料而予以认可的情形；.徇私舞弊，利用职务便利，帮助5名以上考生作弊的情形；．徇私舞弊招收不合格的公务员、学生3人次以上的情形；.因徇私舞弊招收不合格的公务员、学生，导致被排挤的合格人员或者其近亲属自杀、自残造成重伤、死亡，或者精神失常的情形；.因徇私舞弊招收公务员、学生，导致该项招收工作重新进行的情形；.其他情节严重的情形。,检务公开
147,失职造成珍贵文物损毁、流失案立案标准是如何规定的？,失职造成珍贵文物损毁、流失案立案标准有三项，分别是：．导致国家一三级珍贵文物损毁或者流失的情形；．导致全国重点文物保护单位或者省、自治区、直辖市级文物保护单位损毁的情形；．其他后果严重的情形。,检务公开
148,国家机关工作人员利用职权实施的非法拘禁案立案标准是如何规定的？,国家机关工作人员利用职权实施的非法拘禁案立案标准有七项，分别是：．非法剥夺他人人身自由二十四小时以上的情形；.非法剥夺他人人身自由，并使用械具或者捆绑等恶劣手段，或者实施殴打、侮辱、虐待行为的情形；．非法拘禁，造成被拘禁人轻伤、重伤、死亡的情形；.非法拘禁，情节严重，导致被拘禁人自杀、自残造成重伤、死亡，或者精神失的情形；．非法拘禁3人次以上的情形；.司法工作人员对明知是没有违法犯罪事实的人而非法拘禁的情形；．其他非法拘禁应予追究刑事责任的锖形。,检务公开
149,国家机关工作人员利用职权实施的非法搜查案立案标准是如何规定的？,国家机关工作人员利用职权实施的非法搜查案立案标准有六项，分别是：．非法搜查他人身体、住宅，并实施殴打、侮辱等行为的情形；．非法搜查，情节严重，导致被搜查人或者其近亲属自杀、自残造成重伤、死亡，或者精神失常的情形；．非法搜查，造成财物严重损坏的情形；.非法搜查3人（户）次以上的情形；.司法工作人员对明知是与涉嫌犯罪无关的人身、住宅非法搜查的情形；.其他非法搜查应予追究刑事责任的情形。,检务公开
150,国家机关工作人员利用职权实施的刑讯逼供案立案标准是如何规定的？,国家机关工作人员利用职权实施的刑讯逼供案立案标准有八项，分别是：．以殴打、捆绑、违法使用械具等恶劣手段逼取口供的情形；.以较长时间冻、饿、晒、烤等手段逼取口供，严重损害犯罪嫌疑人、被告人身体健康的情形；．刑讯逼供造成犯罪嫌疑人、被告人轻伤、重伤、死亡的情形；.刑讯逼供，情节严重，导致犯罪嫌疑人、被告人自杀、自残造成重伤、死亡，或者精神失常的情形；刑讯逼供造成错案的情形；.刑讯逼供3人次以上的情形；．纵容、授意、指使、强迫他人刑讯逼供，具有上述情形之一的情形；.其他刑讯逼供应予追究刑事责任的情形。,检务公开
151,国家机关工作人员利用职权实施的暴力取证案立案标准是如何规定的？,国家机关工作人员利用职权实施的暴力取证案立案标准有七项，分别是：．以殴打、捆绑、违法使用械具等恶劣手段逼取证人证言的情形；．暴力取证造成证人轻伤、重伤、死亡的情形；．暴力取证，情节严重，导致证人自杀、自残造成重伤、死亡，或者精神失常的情形；.暴力取证造成错案的情形；.暴力取证3人次以上的情形；.纵容、授意、指使、强迫他人暴力取证，具有上述情形之一的情形；．其他暴力取证应予追究刑事责任的情形,检务公开
152,国家机关工作人员利用职权实施的虐待被监管人案立案标准是如何规定的？,国家机关工作人员利用职权实施的虐待被监管人案立案标准有七项，分别是：．以殴打、捆绑、违法使用械具等恶劣手段虐待被监管人的情形；.以较长时间冻、饿、晒、烤等手段虐待被监管人，严重损害其身体健康的情形；．虐待造成被监管人轻伤、重伤、死亡的情形；.虐待被监管人，情节严重，导致被监管人自杀、自残造成重伤、死亡，或者精神失常的情形；．殴打或者体罚虐待3人次以上的情形；.指使被监管人殴打、体罚虐待其他被监管人，具有上述情形之一的情形．其他情节严重的情形,检务公开
153,国家机关工作人员利用职权实施的报复陷害案立案标准是如何规定的？,国家机关工作人员利用职权实施的报复陷害案立案标准有三项，分别是：．报复陷害，情节严重，导致控告人、申诉人、批评人、举报人或者其近亲属自杀、自残造成重伤、死亡，或者精神失常的情形；．致使控告人、申诉人、批评人、举报人或者其近亲属的其他合法权利受到严重损害的情形；．其他报复陷害应予追究刑事责任的情形。,检务公开
154,自家机关工作人员利用职权实施的破坏选举案立案标准是如何规定的？,国家机关工作人员利用职权实施的破坏选举案立案标准有五项，分别是：．以暴力、威胁、欺骗、贿赂等手段，妨害选民、各级人民代表大会代表自由行使选举权和被选举权，致使选举无法正常进行，或者选举无效，或者选举结果不真实的情形；．以暴力破坏选举场所或者选举设备，致使选举无法正常进行的情形；．伪造选民证、选票等选举文件，虚报选举票数，产生不真实的选举结果或者强行宣布合法选举无效、非法选举有效的情形；.聚众冲击选举场所或者故意扰乱选举场所秩序，使选举工作无法进行的情形；．其他情节严重的情形。第十一部分侦查监督工作,检务公开
155,侦查监督重点发现和纠正哪些违法行为？,侦查监督是指检察机关依法对侦查机关的侦查活动是否合法进行的监督。侦查机关不仅包括公安机关，也包括行使着侦查权的国家安全机关、监狱、军队保卫部门以及人民检察院的侦查部门。侦查监督重点发现和纠正以下十一种违法行为：．对犯罪嫌疑人刑讯逼供、诱供的行为；.对被害人、证人以体罚、威胁、诱骗等非法手段收集证据的行为；．伪造、隐匿、销毁、调换或者私自涂改证据的行为；.徇私舞弊，放纵、包庇犯罪分子的行为；．故意制造冤假错案的行为；.在侦查活动中利用职务之便谋取非法利益的行为；．在侦查过程中不应当撤案而撤案的行为；.贪污、挪用、调换所扣押、冻结的款物及其孳息的行为；.违反刑事诉讼法关于决定、执行、变更、撤销强制措施规定的行为；.违反羁押和办案期限规定的行为；@在侦查中有其他违反刑事诉讼法有关规定的行为。,检务公开
156,刑事立案监督的范围包括哪些情形？,刑事立案监督的范围包括四种情形：．公安机关应当立案侦查而不立案的案件；．公安机关不应当立案而立案侦查的案件，．人民检察院侦查部门应当立案侦查而不报请立案的案件；.国家机关工作人员利用职权实施的其他重大犯罪案件。,检务公开
157,检察机关对公安机关“该立不立”的案件如何监督？,检察机关发现公安机关对应当立案侦查的案件而不立案侦查的，经审查，认为需要公安机关说明不立案的理由的，经检察长批准，可以要求公安机关在七日内书面说明不立案的理由。审查认为公安机关不立案的理由不能成立的，经检察长或检察委员会讨论决定，应当通知公安机关立案，并依法对执行情况进行监督。,检务公开
158,通知公安机关立案应当符合哪些条件？,通知公安机关立案应当符合四个条件：．认为有犯罪事实，需要追究刑事责任的；．证据有查证属实的；．属于相应的公安机关管辖的；.应当立案侦查而公安机关决定不立案侦查的。,检务公开
159,"检察机关对公安机关“不该立而立""的案件应当如何监督？",检察机关对经审查认为确属不符合《刑事诉讼法》规定的立案条件而立案侦查的案件，应当建议公安机关撤案，已采取拘留、取保候审、监视居住等强制措施的，应当建议解除强制措施。对于拒不撤案的，可以直接向公安机关提出纠正违法意见，公安机关仍不纠正的，应当向上一级人民检察院报告。上一级人民检察院认为不应当立案的，通知同级公安机关督促下级公安机关撤销案件；上一级人民检察院认为公安机关立案正确的，通知下一级人民检察院撤回纠正违法意见。,检务公开
160,逮捕是不是刑事诉讼的必经程序？,逮捕是刑事诉讼中一种剥夺人身自由的强制措施，其目的是防止犯罪嫌疑人逃跑、自杀、串供、毁证等情形的发生，保证刑事诉讼活动的顺利进行。逮捕不是刑事诉讼的必经程序，犯罪嫌疑人是否需要逮捕，应根据案件的具体情况决定。批准逮捕未经审判不能认定犯罪嫌疑人一定有罪，不批准逮捕不等同于无罪释放，也不影响案件按照刑事诉讼程序的要求向下一个诉讼环节进行。,检务公开
161,人民检察院不批准逮捕有几种情形？,人民检察院不批准逮捕有三种情形：一是因事实不清、证据不足而作出不批准逮捕的；二是无逮捕必要的，即虽然有证据证明有犯罪事实，犯罪嫌疑人可能判处徒刑以上刑罚，但采取取保候审、监视居住等其他方法足以防止发生社会危险性，没有必要采取逮捕措施的；三是不认为是犯罪。对于第二种情形，侦查机关可以直接移送审查起诉；对于第一种情形，如果侦查机关经过补充侦查，达到事实清楚、证据确凿充分后，可以再次提请审查批准逮捕，也可以直接移送审查起诉。,检务公开
162,如何正确理解和把握宽严相济刑事政策的内涵和基本要求？,宽严相济是我们党和国家的一项重要的刑事政策，其主要精神是要求司法机关在处理刑事犯罪时要区别对待，既要有力打击和震慑犯罪，维护法律尊严和权威，又要充分重视依法从宽的一面，最大限度地化消极因素为积极因素。贯彻落实宽严相济刑事政策应当把握以下三个基本要求：一是严格依法。即坚持罪刑法定、罪刑相适应、法律面前人人平等的原则。宽不是法外施恩，严不是无限加重，无论是从宽还是从严，都必须做到于法有据。二是区别对待。根据不同时期、不同地区的犯罪情况和社会治安形势，同时根据案件的具体情况，全面分析犯罪的社会危害性、犯罪嫌疑人或被告人的主观恶性以及案件的社会影响等，明确不同的宽严界限，依法予以从宽或者从严处理，做到该严则严、当宽则宽、宽严适度。三是注重效果。既保证执法办案的法律效果，维护法律的严肃性，又讲求执法办案的社会效果，使执法办案活动有利于震慑严重犯罪、维护社会稳定，有利于化解社会矛盾、减少社会对抗，有利于依法保障人权、维护公民权益，实现法律效果与社会效果的有机统一第十二部分不起诉案件公开审查规则,检务公开
163,不起诉案件公开审查的适用范围是什么？,不起诉案件公开审查的适用范围是存在较大争议并且在当地有较大社会影响的，经人民检察院审查后准备作不起诉的案件。实行不起诉案件公开审查，是为了充分听取侦查机关（部门）和犯罪嫌疑人、被害人以及犯罪嫌疑人、被害人委托的人等对案件处理的意见，为人民检察院对案件是否作不起诉处理提供参考。,检务公开
164,不进行公开审查的不起诉案件包括哪几种情况？,不进行公开审查的不起诉案件包括以下四种情况：．案情简单，没有争议的案件.涉及国家秘密或者个人隐私的案件。．十四岁以上不满十六岁未成年人犯罪的案件；十六岁以上不满十八岁未成年人犯罪的案件，一般也不进行公开审查。.其他没有必要进行公开审查的案件。,检务公开
165,如何启动不起诉案件公开审查程序？,人民检察院对于拟作不起诉处理的案件，可以根据侦查机关（部门）的要求或者犯罪嫌疑人及其法定代理人、辩护人，被害人及其法定代理人、诉讼代理人的申请，经检察长决定，启动公开审查程序。公开审查活动可以在人民检察院进行，也可以在人民检察院指定的场所进行。公开审查不起诉案件应当在审查起诉期限内完成。,检务公开
166,人民检察院应当如何组织不起诉案件公开审查活动？,人民检察院组织不起诉案件公开审查活动，要把握好以下五个环节：一是在公开审查三日前，应当向社会公告案由、公开审查的时间和地点，并通知参加公开审查活动的人员。二是在公开审查活动开始后，公布案件承办人和书记员的姓名，宣布案由以及公开审查的内容、目的，告知当事人有关权利和义务，并询问是否申请回避。三是对不起诉案件进行公开审查，应当听取侦查机关（部门），犯罪嫌疑人及其法定代理人、辩护人，被害人及其法定代理人、诉讼代理人的意见。听取意见可以分别进行，也可以同时进行。四是公开审查的活动内容由书记员制作笔录，笔录应当交参加公开审查的侦查人员，犯罪嫌疑人及其法定代理人、辩护人，被害人及其法定代理人、诉讼代理人阅读或者向其宣读，如果认为记录有误或有遗漏的，可以请求补充或更正，确认无误后，应当签名或盖章。五是不起诉案件公开审查时，允许公民旁听；可以邀请人大代表、政协委员、特约检察员参加；可以根据案件需要或者当事人的请求，邀请有关专家及与案件有关的人参加；经人民检察院许可，新闻记者可以旁听和采访。对涉及国家财产、集体财产遭受损失的案件，可以通知有关单位派代表参加。,检务公开
